name,category,brand,sku,store,base_size,size,unit_type,unit_value,old_price,current_price,discount,price_per_unit,date,link
spenza premium maize meal 2kg,Maize Meal,Spenza,Maize MealSpenza2kg,Naivas,2kg,2.0,kg,2.0,0.0,188.0,0.0,94.0,2026-04-20,https://www.naivas.online/spenza-premium-maize-meal-2kg
dola gold superior maize flour 2 kg,Maize Meal,Dola,Maize MealDola2kg,Naivas,2kg,2.0,kg,2.0,0.0,176.0,0.0,88.0,2026-04-20,https://www.naivas.online/dola-gold-superior-maize-flour-2-kg
nice extra premium maize flour 2kgs,Maize Meal,Nice,Maize MealNice2kg,Naivas,2kg,2.0,kg,2.0,0.0,188.0,0.0,94.0,2026-04-20,https://www.naivas.online/nice-extra-premium-maize-flour-2kgs
jogoo wimbi flour 2kg,Wheat Flour,Jogoo,Wheat FlourJogoo2kg,Naivas,2kg,2.0,kg,2.0,0.0,288.0,0.0,144.0,2026-04-20,https://www.naivas.online/jogoo-wimbi-flour-2kg
natures equatorial ugali afya 2 kg,Maize Meal,Natures,Maize MealNatures2kg,Naivas,2kg,2.0,kg,2.0,0.0,295.0,0.0,147.5,2026-04-20,https://www.naivas.online/natures-equatorial-ugali-afya-2-kg
winnie's pure health ugali afya 2kg,Maize Meal,Winnie's,Maize MealWinnie's2kg,Naivas,2kg,2.0,kg,2.0,0.0,305.0,0.0,152.5,2026-04-20,https://www.naivas.online/winnie-s-pure-health-ugali-afya-2kg
winnie's pure health ugali afya 1kg,Maize Meal,Winnie's,Maize MealWinnie's1kg,Naivas,1kg,1.0,kg,1.0,0.0,155.0,0.0,155.0,2026-04-20,https://www.naivas.online/winnies-pure-health-ugali-afya-1kg
raha premium home baking flour 2kg,Wheat Flour,Raha,Wheat FlourRaha2kg,Naivas,2kg,2.0,kg,2.0,0.0,167.0,0.0,83.5,2026-04-20,https://www.naivas.online/raha-premium-h/baking-flour-2kg
umoja home baking flour 1kg,Wheat Flour,Umoja,Wheat FlourUmoja1kg,Naivas,1kg,1.0,kg,1.0,0.0,81.0,0.0,81.0,2026-04-20,https://www.naivas.online/umoja-home-baking-flour-1kg
kentaste coconut flour 500 g,Wheat Flour,Kentaste,Wheat FlourKentaste500g,Naivas,500g,500.0,kg,0.5,0.0,190.0,0.0,380.0,2026-04-20,https://www.naivas.online/kentaste-coconut-flour-500-g
