name,category,brand,sku,store,base_size,size,unit_type,unit_value,old_price,current_price,discount,price_per_unit,date,link
daawat biryani rice 1kg,Rice,Daawat,RiceDaawat1kg,Naivas,1kg,1.0,kg,1.0,0.0,275.0,0.0,275.0,2026-04-27,https://www.naivas.online/daawat-biryani-rice-1kg
daawat biryani rice 2kg,Rice,Daawat,RiceDaawat2kg,Naivas,2kg,2.0,kg,2.0,0.0,549.0,0.0,274.5,2026-04-27,https://www.naivas.online/daawat-biryani-rice-2kg
daawat brown rice 1kg,Rice,Daawat,RiceDaawat1kg,Naivas,1kg,1.0,kg,1.0,360.0,319.0,41.0,319.0,2026-04-27,https://www.naivas.online/daawat-brown-rice-1kg
daawat deli basmati rice 5 kg,Rice,Daawat,RiceDaawat5kg,Naivas,5kg,5.0,kg,5.0,0.0,1559.0,0.0,311.8,2026-04-27,https://www.naivas.online/daawat-deli-basmati-rice-5-kg
daawat long grain rice 1 kg,Rice,Daawat,RiceDaawat1kg,Naivas,1kg,1.0,kg,1.0,0.0,175.0,0.0,175.0,2026-04-27,https://www.naivas.online/daawat-long-grain-rice-1kg
daawat long grain rice 2kg,Rice,Daawat,RiceDaawat2kg,Naivas,2kg,2.0,kg,2.0,0.0,345.0,0.0,172.5,2026-04-27,https://www.naivas.online/daawat-long-grain-rice-2kg
daawat long grain rice 5kg,Rice,Daawat,RiceDaawat5kg,Naivas,5kg,5.0,kg,5.0,855.0,749.0,106.0,149.8,2026-04-27,https://www.naivas.online/daawat-long-grain-rice-5kg
farmnaivas pakistani rice 1 kg,Rice,Farmnaivas,RiceFarmnaivas1kg,Naivas,1kg,1.0,kg,1.0,0.0,160.0,0.0,160.0,2026-04-27,https://www.naivas.online/farmnaivas-pakistani-rice-1-kg
farmnaivas pishori rice 2 kg,Rice,Farmnaivas,RiceFarmnaivas2kg,Naivas,2kg,2.0,kg,2.0,530.0,489.0,41.0,244.5,2026-04-27,https://www.naivas.online/farmnaivas-pishori-rice-2-kg
farmnaivas thailand rice 1 kg,Rice,Farmnaivas,RiceFarmnaivas1kg,Naivas,1kg,1.0,kg,1.0,0.0,240.0,0.0,240.0,2026-04-27,https://www.naivas.online/farmnaivas-thailand-rice-1-kg
farmnaivas thailand rice 2 kg,Rice,Farmnaivas,RiceFarmnaivas2kg,Naivas,2kg,2.0,kg,2.0,470.0,399.0,71.0,199.5,2026-04-27,https://www.naivas.online/farmnaivas-thailand-rice-2-kg
pearl pishori rice 10kg,Rice,Pearl,RicePearl10kg,Naivas,10kg,10.0,kg,10.0,0.0,3174.0,0.0,317.4,2026-04-27,https://www.naivas.online/pearl-pishori-rice-10kg
pearl pishori rice 1kg,Rice,Pearl,RicePearl1kg,Naivas,1kg,1.0,kg,1.0,0.0,323.0,0.0,323.0,2026-04-27,https://www.naivas.online/pearl-pishori-rice-1kg
pearl pishori rice 2kg,Rice,Pearl,RicePearl2kg,Naivas,2kg,2.0,kg,2.0,0.0,644.0,0.0,322.0,2026-04-27,https://www.naivas.online/pearl-pishori-rice-2kg
pearl pishori rice 5kg,Rice,Pearl,RicePearl5kg,Naivas,5kg,5.0,kg,5.0,1599.0,1375.0,224.0,275.0,2026-04-27,https://www.naivas.online/pearl-pishori-rice-5kg
pearl super basmati rice 1 kg,Rice,Pearl,RicePearl1kg,Naivas,1kg,1.0,kg,1.0,0.0,395.0,0.0,395.0,2026-04-27,https://www.naivas.online/pearl-super-basmati-rice-1-kg
pearl super basmati rice 2 kg,Rice,Pearl,RicePearl2kg,Naivas,2kg,2.0,kg,2.0,0.0,785.0,0.0,392.5,2026-04-27,https://www.naivas.online/pearl-super-basmati-rice-2kg
pearl super basmati rice 5 kg,Rice,Pearl,RicePearl5kg,Naivas,5kg,5.0,kg,5.0,1955.0,1619.0,336.0,323.8,2026-04-27,https://www.naivas.online/pearl-super-basmati-rice-5kg
ranee prem basmati rice 1 kg,Rice,Ranee,RiceRanee1kg,Naivas,1kg,1.0,kg,1.0,0.0,375.0,0.0,375.0,2026-04-27,https://www.naivas.online/ranee-prem-basmati-rice-1kg
ranee premium basmati rice 2kg,Rice,Ranee,RiceRanee2kg,Naivas,2kg,2.0,kg,2.0,0.0,746.0,0.0,373.0,2026-04-27,https://www.naivas.online/ranee-prem-basmati-rice-2kg
ranee premium basmati rice 5 kg,Rice,Ranee,RiceRanee5kg,Naivas,5kg,5.0,kg,5.0,0.0,1855.0,0.0,371.0,2026-04-27,https://www.naivas.online/ranee-premium-basmati-rice-5kg
royal umbrella thai jasmine rice 2kg,Rice,Royal,RiceRoyal2kg,Naivas,2kg,2.0,kg,2.0,0.0,999.0,0.0,499.5,2026-04-27,https://www.naivas.online/royal-umbrella-thai-jasmine-rice-2kg
priceless biryani rice 25 kg,Rice,Priceless,RicePriceless25kg,Naivas,25kg,25.0,kg,25.0,0.0,4600.0,0.0,184.0,2026-04-27,https://www.naivas.online/priceless-biryani-rice-25-kg
sunrice thai jasmine rice 2kg,Rice,Sunrice,RiceSunrice2kg,Naivas,2kg,2.0,kg,2.0,805.0,670.0,135.0,335.0,2026-04-27,https://www.naivas.online/sunrice-thai-jasmine-rice-2kg
sunrice pishori rice 5kg,Rice,Sunrice,RiceSunrice5kg,Naivas,5kg,5.0,kg,5.0,0.0,1459.0,0.0,291.8,2026-04-27,https://www.naivas.online/sunrice-mwea-pishori-5kg
sunrice pishori rice 2kg,Rice,Sunrice,RiceSunrice2kg,Naivas,2kg,2.0,kg,2.0,0.0,589.0,0.0,294.5,2026-04-27,https://www.naivas.online/sunrice-mwea-pishori-2kg
sunrice long grain rice 5 kg,Rice,Sunrice,RiceSunrice5kg,Naivas,5kg,5.0,kg,5.0,920.0,799.0,121.0,159.8,2026-04-27,https://www.naivas.online/sunrice-long-grain-rice-5-kg
sunrice long grain rice 2 kg,Rice,Sunrice,RiceSunrice2kg,Naivas,2kg,2.0,kg,2.0,375.0,330.0,45.0,165.0,2026-04-27,https://www.naivas.online/sunrice-long-grain-rice-2-kg
sunrice long grain rice 1 kg,Rice,Sunrice,RiceSunrice1kg,Naivas,1kg,1.0,kg,1.0,0.0,189.0,0.0,189.0,2026-04-27,https://www.naivas.online/sunrice-long-grain-rice-1kg
sunrice biryani rice 1kg,Rice,Sunrice,RiceSunrice1kg,Naivas,1kg,1.0,kg,1.0,0.0,235.0,0.0,235.0,2026-04-27,https://www.naivas.online/sunrice-biryani-rice-1kg
sunrice basmati rice 5kg,Rice,Sunrice,RiceSunrice5kg,Naivas,5kg,5.0,kg,5.0,1825.0,1399.0,426.0,279.8,2026-04-27,https://www.naivas.online/sunrice-basmati-rice-5kg
